FIRST_OCCU_YEAR FIRST_OCCU_MON GEO_LON GEO_LAT
15 Oct -104.8573566 39.6592928
15 Oct -104.9050611 39.6954777
15 Oct -104.9871573 39.6864919
15 Nov -104.8897052 39.7404523
15 Nov -105.0459496 39.6551322
15 Nov -104.9899683 39.7147918
15 Nov -104.9935737 39.7397729
15 Nov -104.9322604 39.7641236
15 Nov -105.0359541 39.6332731
15 Nov -104.8469269 39.7827799
15 Nov -104.9046234 39.7675998
15 Dec -105.0355360 39.7544931
15 Dec -105.0243687 39.6851686
16 Jan -104.9892415 39.7325973
16 Jan -104.8453511 39.7819722
16 Jan -104.9713893 39.7811423
16 Feb -105.0114285 39.7050163
16 Feb -104.9944042 39.7646677
16 Mar -104.9340412 39.7634047
16 Mar -105.0495510 39.6988735
16 Mar -104.9826439 39.7343144
16 Apr -105.0287038 39.7105389
16 Apr -105.0388612 39.7204732
16 Apr -104.7651915 39.7855321
16 Apr -105.0462526 39.7412616
16 May -104.9777095 39.7547311
16 Jun -104.9232728 39.7678409
16 Jun -105.0014047 39.751169
16 Jun -104.9808218 39.7402911
16 Jul -105.0060833 39.6958795
16 Jul -104.9899295 39.718182
16 Jul -104.9024623 39.7189782
16 Jul -104.8425768 39.7966521
16 Jul -104.8352310 39.7858056
16 Jul -105.0334866 39.6840384
16 Jul -104.9955244 39.7533429
16 Jul -105.0602927 39.652057
16 Aug -104.9113953 39.7118305
16 Aug -104.8683674 39.6541747
16 Aug -105.0328144 39.7140281
16 Aug -105.0348840 39.7112279
16 Aug -104.9732322 39.7181963
16 Sep -104.9756463 39.7566683
16 Sep -104.8306726 39.7940182
16 Sep -104.7986699 39.7974667
16 Oct -104.9803997 39.7401437
16 Oct -104.9643817 39.7576196
16 Oct -104.9838029 39.7594524
16 Oct -104.9404448 39.7771286
16 Oct -104.8697303 39.7076998
16 Oct -104.9361028 39.6928305
16 Oct -104.8907448 39.7403094
16 Oct -105.0417072 39.6853308
16 Oct -104.9775385 39.7480841
16 Oct -104.7513710 39.7808632
16 Oct -104.9574669 39.7769694
16 Oct -104.8591131 39.7855591
16 Nov -104.9537733 39.7820585
16 Nov -104.9935915 39.7471577
16 Nov -105.0108604 39.7742797
16 Nov -104.9717542 39.7360175
16 Nov -104.9533437 39.7773731
16 Nov -105.0265359 39.6999581
16 Nov -104.8217353 39.7941483
16 Dec -104.9795780 39.7387455
17 Jan -105.0326489 39.6572324
17 Jan -104.8370175 39.7767508
17 Jan -105.0256864 39.6847319
17 Jan -105.0395243 39.7066395
17 Jan -105.0009193 39.7519054
17 Feb -105.0529664 39.7351105
17 Feb -104.9600982 39.7688501
17 Feb -104.9994930 39.7489372
17 Mar -105.0245971 39.6897514
17 Mar -104.9823280 39.7400232
17 Mar -104.8890347 39.7472132
17 Apr -104.9072773 39.7259372
17 Apr -104.9864733 39.7513189
17 Apr -104.9807882 39.7597164
17 Apr -105.0431074 39.6558075
17 Apr -104.8658890 39.7756333
17 Apr -105.0551655 39.6787882
17 Apr -104.8931845 39.7423343
17 May -105.0429490 39.7096151
17 May -104.9056326 39.6775151
17 May -104.9844619 39.7428822
17 May -104.8967400 39.6464967
17 May -104.9874154 39.7338549
17 Jun -104.9848621 39.7547242
17 Jun -104.9623777 39.6840587
17 Jun -104.8804498 39.6441443
17 Jun -104.9901941 39.693017
17 Jun -104.9594379 39.75805
17 Jul -104.9597638 39.7582272
17 Jul -104.9805078 39.7399548
17 Jul -104.9935737 39.7397729
17 Jul -104.9516237 39.7752952
17 Jul -105.0099728 39.7724806
17 Jul -105.0166847 39.6983724
17 Jul -104.9753652 39.7676234
17 Jul -104.9238814 39.7634762
17 Jul -105.0287668 39.6281216
17 Jul -105.0017862 39.7510333
17 Jul -104.9798226 39.7522807
17 Aug -104.8647437 39.7728517
17 Aug -104.8791923 39.7233353
17 Aug -104.9397320 39.7563629
17 Aug -104.8393686 39.7873909
17 Aug -104.9811496 39.715689
